coef_log_hazard,se,hazard_ratio,ci_lower_95,ci_upper_95,p_value,n,n_treated,n_control,events,treated_events,control_events,treated_event_rate,control_event_rate,median_followup_days,ties,robust_cluster_pid,age_mean,frailty_mean,prior_outcome_count_mean,util_last30_mean,cox_covariates,Malattia_A_(Exposure),Malattia_B_(Outcome),cohort_csv,error,q_value,Significativo_FDR
0.10000896089090629,0.021829457709307786,1.1051808214360488,1.0588921539256841,1.1534929629441584,4.619257345139036e-06,32900.0,8225.0,24675.0,10932.0,3151.0,7781.0,0.3831003039513678,0.31533941236068896,365.0,breslow,True,50.7509726443769,0.03297872340425532,1.363161094224924,2.0590881458966566,T;age_at_t0;sex_num;frailty;util_last30,MENT,CIRC,cox_results_patched\cox_cohort_DX_MENT_TO_CIRC_d14_h365.csv,,9.197636306692771e-06,Si
0.09912232996057334,0.010487971879196612,1.1042013682070801,1.0817346446185059,1.1271347068489082,3.354537060651312e-21,153340.0,38335.0,115005.0,50645.0,12462.0,38183.0,0.3250815181948611,0.33201165166731883,365.0,breslow,True,52.18302465110212,0.021670796921872962,0.49070040433024653,1.525433676796661,T;age_at_t0;sex_num;frailty;util_last30,SUPP,DIGE,cox_results_patched\cox_cohort_DX_SUPP_TO_DIGE_d14_h365.csv,,2.1564881104187005e-20,Si
0.09542669632283003,0.0298632836440634,1.1001281756375,1.0375837164072934,1.166442749335139,0.0013961189231867454,86186.0,21547.0,64639.0,5668.0,1518.0,4150.0,0.07045064278089758,0.06420272590850724,365.0,breslow,True,54.91967372891189,0.03694335506926879,0.058675422922516415,2.2617826561158423,T;age_at_t0;sex_num;frailty;util_last30,NERV,INFE,cox_results_patched\cox_cohort_DX_NERV_TO_INFE_d14_h365.csv,,0.002122478092682552,Si
0.09130774409124433,0.02329399825215468,1.0956061196929838,1.0467095769702426,1.1467868412775994,8.862359151099079e-05,111800.0,27950.0,83850.0,9490.0,2498.0,6992.0,0.08937388193202146,0.08338700059630293,365.0,breslow,True,54.37412343470483,0.03430232558139535,0.09991949910554562,2.3919677996422184,T;age_at_t0;sex_num;frailty;util_last30,GEN,INJ,cox_results_patched\cox_cohort_DX_GEN_TO_INJ_d14_h365.csv,,0.0001557836569529135,Si
0.0911807821375186,0.014982579685834671,1.0954670282293626,1.0637654511318493,1.1281133530524203,1.1592078490263504e-09,58356.0,14589.0,43767.0,24296.0,5956.0,18340.0,0.40825279320035646,0.41903717412662506,365.0,breslow,True,53.89145931866475,0.03656864761121393,0.7370793063266845,2.7049660703269587,T;age_at_t0;sex_num;frailty;util_last30,SKIN,SUPP,cox_results_patched\cox_cohort_DX_SKIN_TO_SUPP_d14_h365.csv,,3.0684913650697514e-09,Si
0.08900091830547018,0.024787544885753836,1.0930816601087372,1.0412452267444252,1.1474986727207774,0.00032998097012331383,135864.0,33966.0,101898.0,8320.0,2233.0,6087.0,0.06574221280103633,0.059736206795030326,365.0,breslow,True,52.67755991285403,0.027498086321615732,0.054466230936819175,2.7689601366071956,T;age_at_t0;sex_num;frailty;util_last30,MUSC,INFE,cox_results_patched\cox_cohort_DX_MUSC_TO_INFE_d14_h365.csv,,0.0005419395494725956,Si
0.08826238854843076,0.02044238582020523,1.092274684800191,1.0493755913137028,1.1369275185463112,1.577229461420583e-05,160772.0,40193.0,120579.0,12900.0,3352.0,9548.0,0.08339760654840395,0.07918460096700089,365.0,breslow,True,53.24882442216306,0.023405816933296842,0.09471798571890627,1.870058219092877,T;age_at_t0;sex_num;frailty;util_last30,SUPP,INJ,cox_results_patched\cox_cohort_DX_SUPP_TO_INJ_d14_h365.csv,,3.0074290577934846e-05,Si
0.08778712996668794,0.01660032278022683,1.0917556952195138,1.0568053084163924,1.1278619520092446,1.2347289038864676e-07,57008.0,14252.0,42756.0,19834.0,4807.0,15027.0,0.3372859949480775,0.3514594442885209,365.0,breslow,True,53.33460216110019,0.03638085882683132,0.5750420993544766,2.6830971091776594,T;age_at_t0;sex_num;frailty;util_last30,SKIN,DIGE,cox_results_patched\cox_cohort_DX_SKIN_TO_DIGE_d14_h365.csv,,2.778140033744552e-07,Si
0.08697330875886747,0.010318503728577694,1.0908675627205349,1.069027163002192,1.113154165375871,3.490241872268991e-17,155022.0,38756.0,116266.0,61797.0,14664.0,47133.0,0.37836722055939725,0.40538936576471196,365.0,breslow,True,54.47626788455832,0.02416431216214473,0.6737946872056869,1.7379339706622285,T;age_at_t0;sex_num;frailty;util_last30,RESP,SUPP,cox_results_patched\cox_cohort_DX_RESP_TO_SUPP_d14_h365.csv,,1.6360508776260897e-16,Si
0.08622890800924557,0.01589128076559529,1.0900558222566967,1.056627252137012,1.1245419737495541,5.7573749403550755e-08,61068.0,15267.0,45801.0,21367.0,5237.0,16130.0,0.34302744481561537,0.35217571668740855,365.0,breslow,True,53.50361891661754,0.0422479858518373,0.6009039103949695,1.9123108665749655,T;age_at_t0;sex_num;frailty;util_last30,INJ,DIGE,cox_results_patched\cox_cohort_DX_INJ_TO_DIGE_d14_h365.csv,,1.3493847516457209e-07,Si
